1,Southwest Airlines_1,Southwest Airlines,200,82,283,100,81,386,50,30,2941
2,JetBlue_2,JetBlue,200,92,114,100,1,246,50,9,1390
3,Alaska Airlines_3,Alaska Airlines,200,200,144,100,100,488,50,50,1946
4,American Airlines_4,American Airlines,200,116,166,100,0,407,50,17,1682
5,Frontier Airlines_5,Frontier Airlines,200,160,203,100,78,303,50,49,1287
6,JetBlue_6,JetBlue,200,38,116,100,91,514,50,41,2459
7,Frontier Airlines_7,Frontier Airlines,200,1,233,100,97,338,50,37,2701
8,Air France_8,Air France,200,61,250,100,4,232,50,8,2222
9,Alaska Airlines_9,Alaska Airlines,200,200,169,100,100,332,50,50,2466
10,JetBlue_10,JetBlue,200,76,195,100,45,477,50,45,1632
11,Air France_11,Air France,200,115,191,100,35,299,50,6,2899
12,Air New Zealand_12,Air New Zealand,200,181,104,100,8,277,50,36,2568
13,United Airlines_13,United Airlines,200,200,171,100,100,335,50,50,2005
14,Southwest Airlines_14,Southwest Airlines,200,132,147,100,22,352,50,44,1151
15,Air France_15,Air France,200,200,228,100,100,252,50,50,2746
16,Alaska Airlines_16,Alaska Airlines,200,3,195,100,51,535,50,15,2138
17,Frontier Airlines_17,Frontier Airlines,200,74,291,100,21,208,50,18,1334
18,JetBlue_18,JetBlue,200,99,183,100,88,243,50,6,1204
19,American Airlines_19,American Airlines,200,44,208,100,91,260,50,20,1746
20,Southwest Airlines_20,Southwest Airlines,200,8,138,100,39,434,50,38,2185
21,Southwest Airlines_21,Southwest Airlines,200,143,123,100,15,284,50,10,1570
22,Alaska Airlines_22,Alaska Airlines,200,29,272,100,0,219,50,40,2304
23,Southwest Airlines_23,Southwest Airlines,200,4,149,100,69,418,50,28,2030
24,Southwest Airlines_24,Southwest Airlines,200,64,180,100,33,483,50,37,2769
25,Virgin America_25,Virgin America,200,100,116,100,83,523,50,8,2178
26,Virgin America_26,Virgin America,200,6,152,100,98,215,50,1,1514
27,Alaska Airlines_27,Alaska Airlines,200,143,126,100,37,314,50,17,1901
28,JetBlue_28,JetBlue,200,200,250,100,100,272,50,50,1864
29,Air France_29,Air France,200,94,265,100,14,312,50,34,2526
30,JetBlue_30,JetBlue,200,131,176,100,70,266,50,7,1820
31,Frontier Airlines_31,Frontier Airlines,200,120,194,100,73,400,50,0,2688
32,British Airways_32,British Airways,200,34,125,100,60,424,50,16,1047
33,Alaska Airlines_33,Alaska Airlines,200,91,244,100,6,277,50,42,1301
34,Southwest Airlines_34,Southwest Airlines,200,68,130,100,90,590,50,31,2197
35,American Airlines_35,American Airlines,200,18,196,100,10,512,50,40,2226
36,Virgin America_36,Virgin America,200,108,204,100,88,432,50,10,1935
37,United Airlines_37,United Airlines,200,104,164,100,60,247,50,43,1097
38,Virgin America_38,Virgin America,200,84,191,100,82,509,50,26,1108
39,American Airlines_39,American Airlines,200,200,218,100,100,356,50,50,1072
40,Southwest Airlines_40,Southwest Airlines,200,171,274,100,61,405,50,36,1524
41,British Airways_41,British Airways,200,173,160,100,6,510,50,25,1454
42,American Airlines_42,American Airlines,200,200,286,100,100,415,50,50,1032
43,Delta Airlines_43,Delta Airlines,200,41,255,100,83,415,50,36,1844
44,Air New Zealand_44,Air New Zealand,200,99,248,100,69,359,50,45,2318
45,Air France_45,Air France,200,139,251,100,59,440,50,48,2991
46,American Airlines_46,American Airlines,200,81,235,100,16,331,50,3,1756
47,American Airlines_47,American Airlines,200,200,166,100,100,456,50,50,2941
48,Frontier Airlines_48,Frontier Airlines,200,165,174,100,48,451,50,15,1488
49,American Airlines_49,American Airlines,200,162,263,100,66,283,50,5,1082
50,Southwest Airlines_50,Southwest Airlines,200,118,206,100,35,298,50,14,2932
51,Air New Zealand_51,Air New Zealand,200,54,151,100,25,252,50,20,2820
52,Virgin America_52,Virgin America,200,35,158,100,61,256,50,25,1678
53,Frontier Airlines_53,Frontier Airlines,200,47,175,100,16,334,50,26,2326
54,American Airlines_54,American Airlines,200,99,238,100,77,360,50,13,2907
55,Delta Airlines_55,Delta Airlines,200,139,220,100,83,416,50,26,2381
56,Virgin America_56,Virgin America,200,48,276,100,0,434,50,23,1659
57,Virgin America_57,Virgin America,200,99,295,100,24,400,50,21,1306
58,Virgin America_58,Virgin America,200,103,168,100,33,576,50,30,1175
59,Virgin America_59,Virgin America,200,102,282,100,8,594,50,49,1423
60,Southwest Airlines_60,Southwest Airlines,200,152,116,100,91,250,50,49,2937
61,Air France_61,Air France,200,122,111,100,12,292,50,29,1410
62,Air France_62,Air France,200,182,215,100,45,527,50,43,2847
63,JetBlue_63,JetBlue,200,148,252,100,42,375,50,32,1594
64,Alaska Airlines_64,Alaska Airlines,200,38,278,100,72,496,50,34,2405
65,JetBlue_65,JetBlue,200,183,213,100,25,553,50,41,1250
